barcode,view_type,product_name,brand,categories,countries,image_url,local_image_path,license,source
8901491001809,front,Lay's Sizzlin Hot,Lay's,Crisps,India,https://images.openfoodfacts.org/images/products/890/149/100/1809/front_en.19.400.jpg,./off_download\images\8901491001809_front.jpg,CC BY-SA 4.0,Open Food Facts
0850006000012,front,Yaourt nature sucres U,Coca Cola,"Plain yogurt with sugar, Whole milk yogurts","France, India",https://images.openfoodfacts.org/images/products/085/000/600/0012/front_fr.4.400.jpg,./off_download\images\0850006000012_front.jpg,CC BY-SA 4.0,Open Food Facts
8904043552644,front,Modern Sandwich Supreme Bread,Modern,White breads,India,https://images.openfoodfacts.org/images/products/890/404/355/2644/front_en.15.400.jpg,./off_download\images\8904043552644_front.jpg,CC BY-SA 4.0,Open Food Facts
8901595863594,front,Schezwan Chutney,,Fruit chutneys,"India, Ireland",https://images.openfoodfacts.org/images/products/890/159/586/3594/front_en.3.400.jpg,./off_download\images\8901595863594_front.jpg,CC BY-SA 4.0,Open Food Facts
8903553851377,front,Temptin  TOMATO KETCHUP,,Ketchup,India,https://images.openfoodfacts.org/images/products/890/355/385/1377/front_en.3.400.jpg,./off_download\images\8903553851377_front.jpg,CC BY-SA 4.0,Open Food Facts
8901058017670,front,Maggi 280g,Maggi,Noodles,"India, United States",https://images.openfoodfacts.org/images/products/890/105/801/7670/front_en.4.400.jpg,./off_download\images\8901058017670_front.jpg,CC BY-SA 4.0,Open Food Facts
8901071706834,front,HERSHEY'S SYRUP 623g,Hershey's,Simple syrups,India,https://images.openfoodfacts.org/images/products/890/107/170/6834/front_en.23.400.jpg,./off_download\images\8901071706834_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491981552,front,Lay’s Chile Limon 20rs,Lay's,"Crisps, Salty snacks made from potato",India,https://images.openfoodfacts.org/images/products/890/149/198/1552/front_en.26.400.jpg,./off_download\images\8901491981552_front.jpg,CC BY-SA 4.0,Open Food Facts
8904109450112,front,,,,"India, Singapore",https://images.openfoodfacts.org/images/products/890/410/945/0112/front_en.3.400.jpg,./off_download\images\8904109450112_front.jpg,CC BY-SA 4.0,Open Food Facts
8906017290026,front,Bisleri Water 250ml,Bisleri,Waters,India,https://images.openfoodfacts.org/images/products/890/601/729/0026/front_en.23.400.jpg,./off_download\images\8906017290026_front.jpg,CC BY-SA 4.0,Open Food Facts
12345678,front,dsdsds,bfgfg,Beverages,"France, Germany, India, United States",https://images.openfoodfacts.org/images/products/000/001/234/5678/front_en.102.400.jpg,./off_download\images\12345678_front.jpg,CC BY-SA 4.0,Open Food Facts
8901088068758,front,Saffola Masala Veggie Twist Oats,Saffola,Oat,India,https://images.openfoodfacts.org/images/products/890/108/806/8758/front_en.26.400.jpg,./off_download\images\8901088068758_front.jpg,CC BY-SA 4.0,Open Food Facts
8901262260107,front,Amul Gold Milky Milk,Amul,"Milks, Full cream milk",India,https://images.openfoodfacts.org/images/products/890/126/226/0107/front_en.3.400.jpg,./off_download\images\8901262260107_front.jpg,CC BY-SA 4.0,Open Food Facts
8904004400601,front,Haldiram Lite Chiwda,Haldiram's,"Crisps, Crackers (Appetizers), Puffed salty snacks",India,https://images.openfoodfacts.org/images/products/890/400/440/0601/front_en.14.400.jpg,./off_download\images\8904004400601_front.jpg,CC BY-SA 4.0,Open Food Facts
8906010501952,front,Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,"Balaji Wafers, Balaji, Rumbles",Potato crisps,India,https://images.openfoodfacts.org/images/products/890/601/050/1952/front_en.4.400.jpg,./off_download\images\8906010501952_front.jpg,CC BY-SA 4.0,Open Food Facts
8906009070834,front,Unibic cashew badam cookies 500g,Unibic,Biscuits,India,https://images.openfoodfacts.org/images/products/890/600/907/0834/front_en.16.400.jpg,./off_download\images\8906009070834_front.jpg,CC BY-SA 4.0,Open Food Facts
8886467122408,front,Pringles Sour Cream & Onion Flavour Potato Crisps,Pringles,Stacked extruded potato crisps,India,https://images.openfoodfacts.org/images/products/888/646/712/2408/front_en.10.400.jpg,./off_download\images\8886467122408_front.jpg,CC BY-SA 4.0,Open Food Facts
8901207006241,front,Dabur Chyawanprash,Dabur,"Sweeteners, Dietary supplements, Ayurvedic, Pro","India, United States",https://images.openfoodfacts.org/images/products/890/120/700/6241/front_en.5.400.jpg,./off_download\images\8901207006241_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764111259,front,Coca cola zero sugar 300ml,Coca-Cola,Diet cola soft drink,India,https://images.openfoodfacts.org/images/products/890/176/411/1259/front_en.6.400.jpg,./off_download\images\8901764111259_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063163331,front,Tiger glucose biscuit,Britannia,Biscuits,India,https://images.openfoodfacts.org/images/products/890/106/316/3331/front_en.3.400.jpg,./off_download\images\8901063163331_front.jpg,CC BY-SA 4.0,Open Food Facts
8903241110434,front,Kolhapuri Thecha,Pravin,"Chilli-garlic paste, Hot chilly sauce",India,https://images.openfoodfacts.org/images/products/890/324/111/0434/front_en.3.400.jpg,./off_download\images\8903241110434_front.jpg,CC BY-SA 4.0,Open Food Facts
8901512540102,front,Act II Classic Salted,ACT II,Popcorn,India,https://images.openfoodfacts.org/images/products/890/151/254/0102/front_en.17.400.jpg,./off_download\images\8901512540102_front.jpg,CC BY-SA 4.0,Open Food Facts
8902080364589,front,Mountain Dew,PepsiCo,"Sodas, Sweetened beverages",India,https://images.openfoodfacts.org/images/products/890/208/036/4589/front_en.25.400.jpg,./off_download\images\8902080364589_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063093089,front,Good day Cashew,Britannia,Biscuits,India,https://images.openfoodfacts.org/images/products/890/106/309/3089/front_en.10.400.jpg,./off_download\images\8901063093089_front.jpg,CC BY-SA 4.0,Open Food Facts
8901030902352,front,knorr Tomato chatpata,Knorr,Non veg,India,https://images.openfoodfacts.org/images/products/890/103/090/2352/front_en.12.400.jpg,./off_download\images\8901030902352_front.jpg,CC BY-SA 4.0,Open Food Facts
8901030987007,front,Knorr Schezwan Sauce 200 g,Knorr,Sauces,India,https://images.openfoodfacts.org/images/products/890/103/098/7007/front_en.29.400.jpg,./off_download\images\8901030987007_front.jpg,CC BY-SA 4.0,Open Food Facts
0846203004885,front,BAKARWADI,Chitale,Spices,"India, United States",https://images.openfoodfacts.org/images/products/084/620/300/4885/front_en.8.400.jpg,./off_download\images\0846203004885_front.jpg,CC BY-SA 4.0,Open Food Facts
7622202237416,front,Bournvita 13.4g,,Cereal based beverage mix,India,https://images.openfoodfacts.org/images/products/762/220/223/7416/front_en.3.400.jpg,./off_download\images\7622202237416_front.jpg,CC BY-SA 4.0,Open Food Facts
8908006989355,front,,,Food,India,https://images.openfoodfacts.org/images/products/890/800/698/9355/front_en.3.400.jpg,./off_download\images\8908006989355_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063155534,front,Krunch ChocoChips,"Britannia, Tiger",Biscuits,India,https://images.openfoodfacts.org/images/products/890/106/315/5534/front_en.4.400.jpg,./off_download\images\8901063155534_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764312601,front,,,Diet sodas,"India, United States",https://images.openfoodfacts.org/images/products/890/176/431/2601/front_en.6.400.jpg,./off_download\images\8901764312601_front.jpg,CC BY-SA 4.0,Open Food Facts
8904004401561,front,,Haldiram's,Food,India,https://images.openfoodfacts.org/images/products/890/400/440/1561/front_en.5.400.jpg,./off_download\images\8904004401561_front.jpg,CC BY-SA 4.0,Open Food Facts
8901719135477,front,Parle G gold,Parle,Biscuits,India,https://images.openfoodfacts.org/images/products/890/171/913/5477/front_en.19.400.jpg,./off_download\images\8901719135477_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764972041,front,,,"Sodas, Beverages from desugared fruit juices","India, United States",https://images.openfoodfacts.org/images/products/890/176/497/2041/front_en.4.400.jpg,./off_download\images\8901764972041_front.jpg,CC BY-SA 4.0,Open Food Facts
7622202344213,front,,,Dietary supplements,"India, United Kingdom",https://images.openfoodfacts.org/images/products/762/220/234/4213/front_en.7.400.jpg,./off_download\images\7622202344213_front.jpg,CC BY-SA 4.0,Open Food Facts
8904004401134,front,Haldiram's Khatta Sweet and Salty mix,Haldiram,Mix of Sago and rice flakes,"France, India",https://images.openfoodfacts.org/images/products/890/400/440/1134/front_en.17.400.jpg,./off_download\images\8904004401134_front.jpg,CC BY-SA 4.0,Open Food Facts
8906001023036,front,Pure Cow Ghee,Gowardhan,"Butter fat, Butters","France, India",https://images.openfoodfacts.org/images/products/890/600/102/3036/front_en.12.400.jpg,./off_download\images\8906001023036_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491367219,front,kurkure,kurkure,"Appetizers, Kurkure",India,https://images.openfoodfacts.org/images/products/890/149/136/7219/front_en.6.400.jpg,./off_download\images\8901491367219_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764011252,front,Coca cola Original Taste 300ml can,Coca-Cola,"Carbonated waters, Colas, Sweetened beverages, Carbonated soft",India,https://images.openfoodfacts.org/images/products/890/176/401/1252/front_en.5.400.jpg,./off_download\images\8901764011252_front.jpg,CC BY-SA 4.0,Open Food Facts
19010588,front,Chicken noodles,"Maggi, Nestlé","Meals, Instant noodles, Chicken Noodles",India,https://images.openfoodfacts.org/images/products/000/001/901/0588/front_en.15.400.jpg,./off_download\images\19010588_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491365666,front,Kurkure Puffcorn,Kurkure,Corn chips,India,https://images.openfoodfacts.org/images/products/890/149/136/5666/front_en.4.400.jpg,./off_download\images\8901491365666_front.jpg,CC BY-SA 4.0,Open Food Facts
8901491981538,front,Lay’s Chile Limon,Lay's,Snacks,India,https://images.openfoodfacts.org/images/products/890/149/198/1538/front_en.3.400.jpg,./off_download\images\8901491981538_front.jpg,CC BY-SA 4.0,Open Food Facts
8902080204021,front,Mirinda,"Mirinda, PepsiCo Inc.","Sodas, Carbonated waters, Carbonated soft drinks without fruit juice with sugar, Sweetened beverages",India,https://images.openfoodfacts.org/images/products/890/208/020/4021/front_en.4.400.jpg,./off_download\images\8902080204021_front.jpg,CC BY-SA 4.0,Open Food Facts
8906069403412,front,Chef's Special Tomato Ketchup,VEEBA,Tomato Ketchup,India,https://images.openfoodfacts.org/images/products/890/606/940/3412/front_en.15.400.jpg,./off_download\images\8906069403412_front.jpg,CC BY-SA 4.0,Open Food Facts
8908005144014,front,Multigain energy bar,Yoga Bar,Cereal bars,India,https://images.openfoodfacts.org/images/products/890/800/514/4014/front_fr.3.400.jpg,./off_download\images\8908005144014_front.jpg,CC BY-SA 4.0,Open Food Facts
3948764022913,front,fanta coca cola,Everest Turmeric powder tikha lal,"Sodas, Pran Lichi",India,https://images.openfoodfacts.org/images/products/394/876/402/2913/front_en.28.400.jpg,./off_download\images\3948764022913_front.jpg,CC BY-SA 4.0,Open Food Facts
8901063338593,front,100% Whole Wheat Brown Bread,Britannia,Breads,India,https://images.openfoodfacts.org/images/products/890/106/333/8593/front_en.3.400.jpg,./off_download\images\8901063338593_front.jpg,CC BY-SA 4.0,Open Food Facts
8908000861107,front,GOPAL,gopal,,India,https://images.openfoodfacts.org/images/products/890/800/086/1107/front_en.3.400.jpg,./off_download\images\8908000861107_front.jpg,CC BY-SA 4.0,Open Food Facts
8901764092152,front,Maaza Original 1.75ltr,HINDUSTAN COCO-COLA BEVERAGES PVT.LTD,"Sweetened beverages, Cooldrank",India,https://images.openfoodfacts.org/images/products/890/176/409/2152/front_en.8.400.jpg,./off_download\images\8901764092152_front.jpg,CC BY-SA 4.0,Open Food Facts
8901030953217,front,Kissan Sweet & Spicy Sauce,Kissan,Tomato sauces,India,https://images.openfoodfacts.org/images/products/890/103/095/3217/front_en.3.400.jpg,./off_download\images\8901030953217_front.jpg,CC BY-SA 4.0,Open Food Facts
